,mineral_count,vispen_count,scv_count,reward
736,1240.0,48.0,16.0,
737,1260.0,88.0,16.0,
738,1920.0,252.0,19.0,
739,1000.0,64.0,17.0,
740,1980.0,16.0,16.0,
741,2815.0,0.0,19.0,
742,1800.0,0.0,18.0,
743,2045.0,0.0,19.0,
744,200.0,436.0,16.0,
745,755.0,64.0,15.0,
746,1310.0,384.0,18.0,
747,1765.0,216.0,14.0,
748,1300.0,0.0,15.0,
749,1260.0,0.0,17.0,
750,2305.0,224.0,16.0,
751,235.0,316.0,16.0,
752,730.0,0.0,15.0,
753,1690.0,92.0,14.0,
754,95.0,296.0,13.0,
755,1070.0,184.0,17.0,
756,2520.0,0.0,16.0,
757,2120.0,224.0,16.0,
758,2045.0,0.0,15.0,
759,1150.0,136.0,12.0,
760,1950.0,96.0,15.0,
761,825.0,300.0,13.0,
762,400.0,0.0,19.0,
763,2860.0,184.0,15.0,
764,1625.0,88.0,13.0,
765,1250.0,56.0,16.0,
766,1360.0,180.0,21.0,
767,1125.0,360.0,14.0,
768,245.0,32.0,13.0,
769,1115.0,140.0,13.0,
770,1715.0,108.0,14.0,
771,1250.0,0.0,14.0,
772,2275.0,0.0,15.0,
773,3200.0,0.0,15.0,
774,665.0,88.0,15.0,
775,1740.0,544.0,15.0,
776,645.0,412.0,15.0,
777,700.0,364.0,15.0,
778,1195.0,308.0,16.0,
779,1090.0,132.0,17.0,
780,2780.0,0.0,18.0,
781,2580.0,136.0,15.0,
782,1570.0,120.0,15.0,
783,2920.0,0.0,21.0,
784,2520.0,104.0,15.0,
785,920.0,164.0,15.0,
786,1445.0,0.0,15.0,
787,1480.0,68.0,13.0,
788,75.0,344.0,16.0,
789,280.0,284.0,15.0,
790,1690.0,132.0,15.0,
791,425.0,368.0,13.0,
792,1675.0,0.0,15.0,
793,995.0,360.0,15.0,
794,555.0,160.0,13.0,
795,665.0,68.0,13.0,
796,1710.0,164.0,15.0,
797,2280.0,108.0,16.0,
798,1665.0,156.0,13.0,
799,335.0,128.0,17.0,
800,2020.0,0.0,16.0,
801,2045.0,0.0,14.0,
802,405.0,316.0,17.0,
803,1080.0,252.0,13.0,
804,945.0,296.0,12.0,
805,1085.0,396.0,12.0,
806,1780.0,44.0,12.0,
807,2405.0,0.0,13.0,
808,2775.0,0.0,14.0,
809,3090.0,0.0,15.0,
810,45.0,324.0,14.0,
811,1055.0,72.0,14.0,
812,1170.0,404.0,13.0,
813,1470.0,196.0,13.0,
814,455.0,304.0,12.0,
815,500.0,76.0,13.0,
816,2100.0,104.0,16.0,
817,70.0,220.0,15.0,
818,1160.0,236.0,13.0,
819,1075.0,456.0,12.0,
820,310.0,68.0,15.0,
821,1280.0,272.0,15.0,
822,880.0,92.0,16.0,
823,1580.0,0.0,14.0,
824,1710.0,104.0,15.0,
825,400.0,308.0,16.0,
826,1365.0,44.0,13.0,
827,1595.0,252.0,18.0,
828,1310.0,120.0,16.0,
829,1505.0,80.0,15.0,
830,1515.0,120.0,16.0,
831,120.0,128.0,15.0,
832,1295.0,160.0,21.0,
833,855.0,296.0,15.0,
834,810.0,92.0,16.0,
835,1510.0,0.0,14.0,
836,605.0,20.0,13.0,
837,515.0,0.0,13.0,
838,1850.0,316.0,15.0,
839,20.0,164.0,16.0,
840,1400.0,360.0,14.0,
841,2180.0,8.0,12.0,
842,390.0,332.0,17.0,
843,1255.0,200.0,13.0,
844,1560.0,68.0,17.0,
845,1855.0,260.0,16.0,
846,585.0,260.0,17.0,
847,1420.0,136.0,14.0,
848,2080.0,0.0,18.0,
849,1615.0,236.0,15.0,
850,2170.0,0.0,16.0,
851,1695.0,208.0,14.0,
852,1430.0,0.0,14.0,
853,945.0,188.0,20.0,
854,780.0,56.0,15.0,
855,1135.0,144.0,15.0,
856,1385.0,4.0,16.0,
857,1025.0,580.0,15.0,
858,65.0,112.0,14.0,
859,1010.0,128.0,13.0,
860,1060.0,236.0,14.0,
861,905.0,0.0,13.0,
862,835.0,408.0,13.0,
863,2145.0,288.0,12.0,
864,2100.0,220.0,17.0,
865,65.0,136.0,15.0,
866,510.0,152.0,13.0,
867,870.0,216.0,14.0,
868,1120.0,104.0,13.0,
869,2390.0,100.0,14.0,
870,1520.0,68.0,15.0,
871,2100.0,104.0,14.0,
872,1775.0,328.0,15.0,
873,1980.0,108.0,16.0,
874,290.0,384.0,15.0,
875,2245.0,0.0,15.0,
876,2260.0,32.0,15.0,
877,1825.0,0.0,13.0,
878,2080.0,44.0,14.0,
879,625.0,312.0,13.0,
880,1135.0,128.0,14.0,
881,175.0,488.0,15.0,
882,1285.0,160.0,14.0,
883,505.0,96.0,14.0,
884,1470.0,0.0,14.0,
885,2280.0,116.0,14.0,
886,1275.0,364.0,12.0,
887,1070.0,280.0,12.0,
888,195.0,212.0,15.0,
